id,name,latitude,longitude,active,explosive,startyear,startmonth
262,"Lengai, Ol Doinyo",-2.764,35.914,FALSE,0,2011,6
263,Dallol,14.242,40.3,FALSE,0,2011,1
264,Nabro,13.37,41.7,FALSE,4,2011,6
265,Marapi,-0.38,100.474,FALSE,2,2011,8
266,Asosan,32.884,131.104,FALSE,1,2011,5
267,Hierro,27.73,-18.03,FALSE,2,2011,10
268,Kirishimayama,31.934,130.862,FALSE,2,2011,1
269,Kerinci,-1.697,101.264,FALSE,1,2011,12
270,Puyehue-Cordon Caulle,-40.59,-72.117,FALSE,5,2011,6
271,Ambae,-15.389,167.835,FALSE,1,2011,6
272,Planchon-Peteroa,-35.223,-70.568,FALSE,3,2011,2
273,Klyuchevskoy,56.056,160.642,FALSE,1,2011,3
274,Cleveland,52.825,-169.944,FALSE,2,2011,7
275,Gamalama,0.8,127.33,FALSE,2,2011,12
276,Nyamuragira,-1.408,29.2,FALSE,2,2011,11
277,Axial Seamount,45.95,-130,FALSE,0,2011,4
278,Rabaul,-4.271,152.203,FALSE,2,2011,3
279,Pagan,18.13,145.8,FALSE,2,2011,4
280,"Hudson, Cerro",-45.9,-72.97,FALSE,2,2011,10
281,Gaua,-14.27,167.5,FALSE,1,2011,9
282,Rincon de la Vieja,10.83,-85.324,FALSE,1,2011,8
283,Tungurahua,-1.467,-78.442,FALSE,3,2011,11
284,Tungurahua,-1.467,-78.442,FALSE,2,2011,4
285,Turrialba,10.025,-83.767,FALSE,1,2011,1
286,Sangay,-2.005,-78.341,FALSE,2,2011,6
